Wind speed,Output power,Nacelle temperature,Generator speed,Pitch motor temperature 1,Pitch motor temperature 2,Pitch motor temperature 3,Pitch angle 1,Pitch angle 2,Pitch angle 3,Pitch torque 1,Pitch torque 2,Pitch torque 3
5.79,562.7,2.9,1554.8,30,26,27,0,0,0,-10.29,-9.47,-9.65
5.73,586.3,3.9,1569.7,31,29,30,0,0,0,-13.15,-8.91,-12.15
5.75,540.8,3,1535,31,29,29,0,0,0,-11.89,-10.45,-11.78
5.72,509,2.3,1499.9,37,34,33,0,0,0,-11.47,-10.33,-8.88
5.73,547.2,1.4,1535.5,37,34,34,0,0,0,-11.53,-8.59,-11.13
5.75,506,0.8,1502,33,29,29,0,0,0,-11.11,-11.37,-7.86
5.8,506.6,3,1495.4,24,21,23,0,0,0,-9.44,-6.24,-10.42
5.87,513.1,2.9,1502.7,29,26,27,0,0,0,-12.23,-9.12,-11
5.84,550.2,2.8,1537.5,31,29,30,0,0,0,-12,-9.43,-12.14
5.8,514.8,3.2,1515.5,31,29,30,0,0,0,-10.23,-8.81,-8.73
5.8,559.3,2.7,1566.5,34,31,31,0,0,0,-11.42,-10.24,-8.75
5.82,567.5,3.2,1558,34,31,31,0,0,0,-11.25,-10.37,-9.18
5.88,583.4,2.5,1578,34,31,31,0,0,0,-10.02,-14.18,-11.4
5.84,502.9,1.5,1498,34,30,30,0,0,0,-12.15,-7.19,-9.82
5.86,528.8,2.4,1521.6,33,29,29,0,0,0,-10.25,-11.93,-10.26
5.95,520.5,0,1510,19,16,19,0,0,0,-8.93,-10.04,-9.79
5.91,583.2,0.1,1573.2,19,16,20,0,0,0,-10.89,-9.13,-9.79
5.92,537.5,4.8,1530.4,38,36,40,0,0,0,-8.77,-9.12,-10.58
5.92,568.7,2.9,1562.9,37,34,38,0,0,0,-9.3,-8.11,-9.73
5.98,529.4,3.1,1500,33,30,33,0,0,0,-8.34,-6.97,-8.17
5.91,586.9,2.4,1594.9,36,33,36,0,0,0,-10.9,-9.29,-9.61
5.91,586.9,2.4,1594.9,36,33,36,0,0,0,-10.9,-9.29,-9.61
5.92,558.3,2.1,1569.6,36,33,36,0,0,0,-9.2,-7.95,-10.71
5.94,550.9,3.1,1537.8,27,23,26,0,0,0,-12.4,-9.02,-11.12
5.96,564.6,3.1,1552.5,29,26,27,0,0,0,-10.82,-7.86,-11.36
5.91,566.8,2.9,1557.2,30,27,29,0,0,0,-13.13,-9.76,-11.46
5.96,583.3,4.1,1570.2,31,29,29,0,0,0,-10.68,-13.38,-10.02
5.9,560,3.3,1565.1,34,31,31,0,0,0,-10.88,-7.74,-10.48
5.98,557.9,3.4,1554.2,33,30,30,0,0,0,-10.25,-12.87,-11.21
5.93,576.3,2.8,1563.2,31,29,30,0,0,0,-11.32,-8.29,-11.93
5.9,591.7,2.7,1569.9,37,36,33,0,0,0,-12.76,-12.73,-10.27
5.94,522.3,1.5,1519.5,37,33,33,0,0,0,-10.2,-12.06,-10.57
5.96,527.3,2.7,1527.2,33,29,29,0,0,0,-10.48,-10.36,-10.42
5.9,513.8,1.2,1508.2,33,29,29,0,0,0,-10.36,-10.57,-9.93
6.07,525.8,4.9,1516.3,41,40,43,0,0,0,-8.75,-8.58,-9.05
